name,usage,image
한컴오피스 2022,사무,https://www.hancom.com/img/renew/logo_new.png
Microsoft 365,사무,https://microsoft365.gabia.com/assets/images/logo_microsoft365.png
Office 2019,사무,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Microsoft_Office_2013-2019_logo_and_wordmark.svg/200px-Microsoft_Office_2013-2019_logo_and_wordmark.svg.png
Office 2021,사무,https://i.pinimg.com/564x/71/70/a2/7170a24a3e9fb2d6ae8480385c733c83.jpg
4k 영상 시청,사무,https://img.freepik.com/premium-vector/4k-ultra-hd-symbol-high-definition-4k-resolution-mark-uhd_268834-360.jpg
인터넷 서핑,사무,https://static.thenounproject.com/png/249243-200.png
Visual Studio 2022,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Visual_Studio_Icon_2022.svg/193px-Visual_Studio_Icon_2022.svg.png
Visual Studio Code,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Visual_Studio_Code_1.35_icon.svg/75px-Visual_Studio_Code_1.35_icon.svg.png
PyCharm,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/PyCharm_Icon.svg/64px-PyCharm_Icon.svg.png
Eclipse IDE,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Eclipse-Luna-Logo.svg/256px-Eclipse-Luna-Logo.svg.png
IntelliJ IDEA,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/IntelliJ_IDEA_Icon.svg/120px-IntelliJ_IDEA_Icon.svg.png
Android Studio,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Android_Studio_Trademark.svg/200px-Android_Studio_Trademark.svg.png
Rstudio,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/RStudio_logo_flat.svg/120px-RStudio_logo_flat.svg.png
Arduino IDE,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Arduino_Uno_logo.png/120px-Arduino_Uno_logo.png
VMware,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Vmware.svg/200px-Vmware.svg.png
MySQL Workbench,개발,https://i.pinimg.com/originals/e9/bd/82/e9bd82cf92894a080eb23a15c246c52b.png
Final Cut Pro,영상 편집,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/2015_Final_Cut_Pro_Logo.png/120px-2015_Final_Cut_Pro_Logo.png
After Effects,영상 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Adobe_After_Effects_CC_icon.svg/120px-Adobe_After_Effects_CC_icon.svg.png
Premiere Pro,영상 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adobe_Premiere_Pro_CC_icon.svg/120px-Adobe_Premiere_Pro_CC_icon.svg.png
Vegas Pro,영상 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Vegas_Pro_19.svg/128px-Vegas_Pro_19.svg.png
Davinci Resolve,영상 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/DaVinci_Resolve_Studio.png/120px-DaVinci_Resolve_Studio.png
Avid Media Composer,영상 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Media_Composer_Video_Editor_Software.jpg/120px-Media_Composer_Video_Editor_Software.jpg
Edius,영상 편집,https://seeklogo.com/images/E/edius-pro-logo-8073F38B36-seeklogo.com.png
라이브 방송,방송,https://cdn-icons-png.flaticon.com/128/1692/1692213.png
게임 방송,방송,https://cdn-icons-png.flaticon.com/128/7115/7115039.png
고사양 게임 방송,방송,https://cdn-icons-png.flaticon.com/128/6875/6875330.png
Adobe Photoshop,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Adobe_Photoshop_CC_icon.svg/120px-Adobe_Photoshop_CC_icon.svg.png
Adobe Illustrator,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Adobe_Illustrator_CC_icon.svg/120px-Adobe_Illustrator_CC_icon.svg.png
CorelDRAW,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/CorelDraw_logo_%282%29.svg/180px-CorelDraw_logo_%282%29.svg.png
GIMP,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/The_GIMP_icon_-_gnome.svg/120px-The_GIMP_icon_-_gnome.svg.png
Inkscape,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Inkscape_Logo.svg/120px-Inkscape_Logo.svg.png
Paint.NET,이미지 편집,https://upload.wikimedia.org/wikipedia/en/9/93/Paint.net_logo.png
Krita,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Calligrakrita-base.svg/120px-Calligrakrita-base.svg.png
Clip Studio Paint,이미지 편집,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Clip_Studio_Paint_app_logo.png/120px-Clip_Studio_Paint_app_logo.png
PaintTool SAI,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Paint_tool_sai_logo.png/120px-Paint_tool_sai_logo.png
Affinity Designer,이미지 편집,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Affinity_Designer_2-logo.svg/120px-Affinity_Designer_2-logo.svg.png
PaintShop Pro,이미지 편집,https://i.pcmag.com/imagery/reviews/0684l1MsnWfoULBBSjmx2gz-47..v1597325287.png
Autodesk Maya,모델링,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Autodesk_Maya_version_2023_icon.jpg/90px-Autodesk_Maya_version_2023_icon.jpg
Blender,모델링,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Logo_Blender.svg/200px-Logo_Blender.svg.png
Autodesk 3ds Max,모델링,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Autodesk_3D_Studio_Max_Icon_from_2022_rebrand.jpg/90px-Autodesk_3D_Studio_Max_Icon_from_2022_rebrand.jpg
AutoCAD,모델링,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/AutoCad_new_logo.svg/200px-AutoCad_new_logo.svg.png
Cinema 4D,모델링,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/C4D_Logo.png/120px-C4D_Logo.png
Adobe Animate,모델링,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Adobe_Animate_CC_icon_%282020%29.svg/120px-Adobe_Animate_CC_icon_%282020%29.svg.png
SolidWorks,모델링,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/SolidWorks_Logo.svg/120px-SolidWorks_Logo.svg.png
Autodesk Inventor,모델링,https://www.flashforge-eu.com/image/cache/catalog/product/autodesk/inventor-professional/autodesk-inventor-professiona%C3%B6-1280x720.jpg
PTC Creo,모델링,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/PTC_Creo_logo.svg/120px-PTC_Creo_logo.svg.png
CATIA,모델링,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/CATIA_Logotype_RGB_Blue.png/120px-CATIA_Logotype_RGB_Blue.png
Rhinoceros 3D,모델링,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Rhinoceros3d-logo.png/120px-Rhinoceros3d-logo.png
Zbrush,모델링,https://upload.wikimedia.org/wikipedia/en/c/c6/Pixologic_ZBrush_Logo.png
Autodesk Mudbox,모델링,https://cdn11.bigcommerce.com/s-2snnk3/images/stencil/1280x1280/products/26431/375403/498P1-WW7933-L143-1__84621.1680218737.jpg?c=2
Autodesk Fusion 360,모델링,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Fusion360_Logo.png/120px-Fusion360_Logo.png
HandBrake,인코딩,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/HandBrake_Icon.png/120px-HandBrake_Icon.png
Adobe Media Encoder,인코딩,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Adobe_Media_Encoder_Icon.svg/1200px-Adobe_Media_Encoder_Icon.svg.png
곰인코더,인코딩,https://i.namu.wiki/i/nZPRwbtmcfn2eu7TiRxfkPpt4uz6M9Na_GJwKUX-8NcKfpUbVRAwQTHe1rr6mKYY_S6adyZgPAWEN143YvxTCA.webp
샤나인코더,인코딩,https://i.namu.wiki/i/-DJvTyoDCj-lbW3q8i7GY3npfAGQ-gX356JAlvJt5iO6Ifn-Xcor60yzJD_ThFThgKLZftTDGtIxExOh1029Rg.png
MediaCoder,인코딩,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/MediaCoder_Logo.png/120px-MediaCoder_Logo.png
Ableton Live 11,음악 작업,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ableton_logo.png/120px-Ableton_logo.png
FL Studio,음악 작업,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/FL_Studio_11_just_logo.png/120px-FL_Studio_11_just_logo.png
Cubase,음악 작업,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Cubase_logo.svg/200px-Cubase_logo.svg.png
Pro Tools,음악 작업,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/PT2019.png/120px-PT2019.png
Studio One 6,음악 작업,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/PreSonus_Studio_One_Logo.png/120px-PreSonus_Studio_One_Logo.png
Bitwig Studio,음악 작업,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Antu_bitwig-studio.svg/120px-Antu_bitwig-studio.svg.png
Reason,음악 작업,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Reason_Studios.svg/220px-Reason_Studios.svg.png
Avid Sibelius,음악 작업,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/SIB2019.png/100px-SIB2019.png
LMMS (Linux MultiMedia Studio),음악 작업,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/LMMS_logo_v1.2.2.png/120px-LMMS_logo_v1.2.2.png
Cakewalk,음악 작업,https://pbs.twimg.com/media/DZ7w9yCVQAEYIc_.jpg
